date,question,answer
2015-11-30,4、问：公司上市后如何利用这个上市公司平台做好有关市值管理和实现千亿目标等方面的工作？,答：公司上市前主要是以自有资金来发展，发展速度和步伐常受行业周期、经济环境等因素的直接影响。上市后，公司会充分利用上市公司平台促进公司平稳快速发展。市值管理方面，公司会逐步考虑，目的是希望公司股价有一个比较稳定的、健康的发展通道。为了温氏的发展和继续倡导“精诚合作，齐创美满生活”的温氏文化，待时间成熟了，公司也会考虑股权激励、员工持股等方式。
2015-11-30,2、问：公司除了肉猪、肉鸡养殖主营业务之外，有没有考虑做进一步的产业延伸？,答：公司除了肉猪、肉鸡养殖，还有很多配套产业，但产值相对于主业还很小。公司未来产业链延伸的主要方向是加工和分销，现在在做一些试验性工作，经济效益尚未体现。
2015-11-30, 1、问：猪肉、鸡肉价格波动对公司业绩有什么影响？,答：猪肉、鸡肉价格的波动对公司业绩肯定是有影响的，但是今年总体来说，猪肉、鸡肉价格波动对公司业绩是正向的影响，从三季报的利润水平与去年同期相比可以看出。
2015-11-30,6、问：公司几大产业的收入占比怎样？公司的千亿目标具体是指哪些？,答：公司肉猪、肉鸡销售收入大概占总收入的95%，其中肉猪占比大概为60%，肉鸡占比大概为35%。其他产业还有肉鸭、乳业、农牧设备、动保等。千亿目标目前主要是指千亿销售收入，根据公司当前做好的肉猪、肉鸡养殖布局和规划，如果全部满负荷生产就可以实现这个目标。
2015-12-10,11、问：今年饲料原料价格很低，公司是否大规模采购，加大库存？,答：公司采用均衡采购。
2015-12-10,16、问：公司单只猪、鸡的“药物+疫苗”费用大概多少？,答：具体数公司没有做详细的统计，大家的统计口径也存在不一致的情况，而且南方和北方的用药费用也不一样。
2015-12-10,15、问：今年公司鸡的盈利情况怎样？,答：今年公司的鸡业务总体比去年的要好。而农户获利也有所提升，现在农户约有3元/只的收益。
2015-12-10,14、问：对明年猪价有何预判？,答：猪价变化很大，影响的因素很多。如散户退出情况、环保要求、各同行企业生产计划，潜在进入者等因素都有影响，所以很难判断。
2015-12-10,13、问：根据公司目前的发展势头，中长远期公司肉猪上市量能达到7000万头吗？2030年能否达到这个目标？,答：公司近期的目标是完成年上市3000万头的计划，要实现这一目标，公司已经在做好的规划。至于更加长远的计划，暂时还没有制订。
2015-12-10,12、问：未来公司主要在哪些区域发力？,答：公司在全国都有布局，除了广东区域之外，其他地区都会加快发展步伐。
2015-12-10,9、问：公司养殖模式有什么壁垒吗？,答：公司的养殖业是全产业链模式，养殖水平总体上是行业领先水平，但单项不一定都比专业化的商业公司有优势。公司的养殖体系是软、硬件相结合。硬件方面配套有先进的现代农牧养殖装备，在软件方面有一套完整的科研管理体系，从育种、营养、疾病防控、饲养管理等全方位研究解决养殖过程遇到的问题。还有后台科学、反应迅速的管理体系、财务体系等支撑。公司近年肉鸡、肉猪上市率都有95%左右，而且保持相对稳定。
2015-12-10,10、问：公司与合作农户怎么结算？,答：在公司与合作农户签订委托饲养合同时即通过一个模拟定价模式确定种苗、饲料、药物和肉猪、肉鸡产品等价格。合作农户饲养的肉猪、肉鸡上市后，通过该模拟定价模式计算上市产品总收入，减去饲养期间所领取的物资总费用即为其养殖总收益。今年，公司的合作农户在正常饲养情况下，每头猪约有200元的收益，每只鸡约有3元的收益。公司重视保持养户收益相对稳定，并随着物价水平的提升，合作农户的收益水平也逐年提升。
2015-12-10,7、问：公司养殖装备处于怎么样的水平？怎么采购？,答：公司养殖装备处于行业中上等水平。大部分由公司的农牧设备公司提供，有一些需要从外部采购。
2015-12-10,6、问：公司发展空间怎么样？,答：在现有的基础上，公司争取肉猪上市量每年约有15%-20%的增长；肉鸡上市量争取每年有8-10%的增长。
2015-12-10,5、问：公司现在母猪存栏多少？,答：大概100万头。
2015-12-10,4、问：与公司合作的家庭农场拿地困难吗？公司拿地困难吗？,答：公司的合作农户一般都有自有土地，不难。公司用地主要是在种场建设面，需要用地面积较大。
2015-12-10,3、问：运营公司生鲜店的团队来源于哪里？,答：公司的市场部。
2015-12-10,2、问：公司对下游的食品加工产业未来有什么考虑？,答：公司未来会考虑在食品加工产业的布局。公司在屠宰加工业也经营了十几年，目前还没有找到很好的盈利模式，产值还较小，还处于摸索阶段。到今天为止，公司已在深圳开了两家食品生鲜店，探索鲜食品销售模式，如果成功，可以迅速复制扩张。在往后还有可能发展电商模式。
2015-12-10,8、问：公司的环保措施如何运行？,答：公司在不同区域，因地制宜地采用不同模式，环保技术和工艺在行内处于比较先进的水平。
2016-01-13,12、公司管理团队主要来源于哪里？,答：公司自行培养。
2016-01-13,15、未来乳制品产品采取哪些策略？,答：主要以鲜奶产品为主，并进行区域异差异化销售策略。（全文完）
2016-01-13,14、未来肉猪规模扩张的区域规划如何？,答：稳定发展华南区，加快发展东北、华东、华中、西南、西北等区域。
2016-01-13,13、公司其他产业发展目标如何？,答：公司其他产业尚处于探索、培育期，总体的方案还在研究制订。
2016-01-13,11、发展其他养殖的原因？,答：培育未来新的利润增长点，规避单一业务发展风险。
2016-01-13,10、公司除了猪、鸡，还发展其他养殖吗？,答：还有奶牛、番鸭、蛋鸡、鱼和羊。
2016-01-13,9、四季度比三季度利润下降的原因是什么？,答：年末需支付多项经营和服务费用。
2016-01-13,8、公司下游产业的规划发展如何？,答：公司猪的屠宰加工业务目前还没有摸索出合适的盈利模式，生鲜门店尚在起步探索阶段。深加工方面，目前开发有熟鸡产品，主要销往广州、香港、北京、上海等一些酒店，但销售量还比较小。
2016-01-13,7、据了解，其他同行企业都在学习温氏模式，公司的优势在哪？,答：公司在养殖全产业链方面可以说是“全能冠军”，但单项不一定比专业化的商业公司都有优势。公司的养殖体系是软、硬件相结合的系统工程。硬件方面配套有先进的现代农牧养殖装备，在软件方面有一套完整的科研管理体系，从育种、营养、疾病防控、饲养管理等全方位研究解决养殖过程遇到的问题；还有强大的后台支撑，如科学、灵活、反应迅速的管理体系和财务体系等支撑。
2016-01-13,6、一般合作农户建设栏舍需要投资多少？,答：一头肉猪大概需投入600-800元，一般一个合作农户每批可饲养300-500头肉猪，总投资约18-30万元。2015年公司所有合作农户平均收益是11万左右，大概需要3到5年左右的时间可以收回投资成本。
2016-01-13,5、公司对2016年猪价怎么看？,答：公司无法对猪肉价格作出判断，但是从经验来看，应该在现在的价位维持较长时间。
2016-01-13,4、公司给合作农户的收益水平也逐年提升的原因是什么？,答：（1）近年来，猪（或鸡）价格有所上升；（2）国内的物价水平也有所上升；（3）保持合作吸引力。
2016-01-13,3、目前合作农户每头猪约有200元的收益，他们的生产成绩应该达到什么样的水平？,答：料肉比达到2.4左右，上市率94%—95%
2016-01-13,1、公司是怎么推广、发展合作农户的？,答：主要通过当地政府的帮助和引导、公司主动宣传、建立示范户等方式进行推广和发展合作农户。之所以取得良好效果主要原因：（1）公司采用紧密型“公司+农户（或家庭农场）”的温氏模式已有30多年历史，而且养殖规模大，在业内有较高的知名度和较良好的口碑；（2）合作农户（或家庭农场）取得收益比较有吸引力；（3）有当地政府的引导并取得农户的信任。2、请介绍一下“公司+农户”的一些操作细节。答：确定与公司合作的农户，公司会与其签订委托养殖合同，并交付一定的押金。委托养殖合同通过模拟定价模式确定了种苗、饲料、药物和肉猪、肉鸡产品等价格。合作农户在开始饲养肉猪、肉鸡时先从公司服务部领取种苗、饲料、药物等物料。领取物料时合作农户不再需要支付现金，而是先记账。待肉猪、肉鸡产品上市后，通过合同确定的价格计算上市产品总收入，减去饲养期间所领取的物料总费用即为其养殖总收益。今年，公司的合作农户在正常饲养情况下，每头猪约有200元的收益，每只鸡约有3元的收益。公司重视保持养户收益相对稳定，并随着物价水平的提升，合作农户的收益水平也逐年提升。
2016-03-15,20、公司商品肉猪的平均成本多少？,答：6元/斤左右。
2016-03-15,21、这个成本包含政府补贴吗？,答：政府补贴很少，占比忽略不计。
2016-03-15,22、公司与合作农户怎么结算？,答：合作农户与公司合作前，公司与其签订委托养殖合同。委托养殖合同通过模拟定价模式确定了种苗、饲料、药物和肉猪（鸡）产品上市价格。合作农户从公司领取种苗、饲料、药物等物资时合作不需支付现金，先记账。产品上市时，公司组织销售并根据委托养殖合同确定的产品价格和上市称重计算总收入，减去饲养期间所领取的物资总费用即为合作农户养殖总收益。
2016-03-15,23、公司肉猪、肉鸡出栏体重是固定的还是随着市场变化而变化？,答：比较固定。
2016-03-15,24、公司现在在东北发展得怎么样了？,答：现在正在筹建9个一体化养猪公司，年上市约40万头。
2016-03-15,25、公司奶牛现在存栏多少？,答：约1.3万头。
2016-03-15,19、合作农户的饲料、疫苗都是公司自己供应的吗？,答：是的。
2016-03-15,27、公司肉鸡的成本多少？,答：约5.5-6元/斤。
2016-03-15,28、公司现有养殖场可以扩建吗？,答：很难，扩建需要重新环评。
2016-03-15,29、对今年的猪价走势怎么看，还能突破前期高点吗？,答：我们认为现在猪价相对比较高了。公司不对未来猪价做预测。
2016-03-15,30、公司净资产收益率如何？,答：从近十年来看平均约30%。
2016-03-15,31、温氏投资主要投向哪些领域？,答：各领域均有涉及。
2016-03-15,32、公司为什么不养白鸡？,答：尝试过，很难盈利，所以放弃了。（全文完）
2016-03-15,26、公司2016年度员工持股计划什么时候完成？,答：正按计划推进，预计7月份完成。
2016-03-15,17、现在的猪价公司感觉怎么样？,答：在高位区，比我们预计的要好。
2016-03-15,18、公司各区域养殖成本差异如何？,答：广东区域比北方略低。
2016-03-15,15、养猪的污染物主要有哪些，有哪些环保处理措施？,答：粪、尿、污水等。猪粪可以堆肥发酵作为有机肥还田，尿、污水可以通过沉淀、氧化等处理措施后达标排放。
2016-03-15,1、中国和欧美等发达国家在控制畜禽养殖成本方面还有哪些差距？,答：据我们了解，我国的养殖水平和欧美等发达国家相比还是略有差距的，主要差距在育种水平、饲料成本和养殖模式方面。但是公司的养殖水平和发达国家差距不大。
2016-03-15,2、2007年的疫情对公司生产经营有何影响，对合作农户的收益有何影响？,答：2007年影响养殖业的主要疫情是蓝耳病。公司当年的生产比较稳定，成绩良好，这主要得益于公司全面、有效的疫病防控能力。公司合作农户的养殖风险主要来源于生产管理的风险。如果因为系统性疫病风险而造成的损失，公司会有相应补助政策。
2016-03-15,3、很多公司也采用“公司+农户”的模式，为什么公司会比同行做得更好？,答：关键在于利益机制平衡。公司采用的是紧密型“公司+农户（或家庭农场）”的温氏模式，公司与合作农户的关系是非常紧密的、合作共赢的关系。公司经过30多年的发展，始终践行“精诚合作，齐创美满生活”的齐创共享的文化理念，得到了合作农户的认同和追随。
2016-03-15,4、我们记得2014年公司的效益差一点，公司合作农户的收益有没有减少？,答：没有。
2016-03-15,5、现在猪价那么好，商品肉猪已经突破8元/斤，为什么能繁母猪还在减少？,答：据了解主要是因为：（1）养猪的门槛提高了，增量少；（2）散户退出加剧；（3）愿意从事养猪业的年轻人少了。
2016-03-15,6、目前公司的合作养猪户平均每年养多少头，收益大概多少？,答：合作农户一般每年养2批，350-400头/批，目前公司合作养猪户平均收益不低于190元/头。
2016-03-15,8、请问禽流感疫情对公司生产经营有何影响？,答：公司的疫病防控技术比较先进，系统完善，防控能力比较强，生产一直都很稳定。禽流感疫情主要对销售渠道的影响比较大，由于消费者的恐慌，引起肉鸡销量下降。
2016-03-15,7、合作农户的环保设施建设需投入多少钱？,答：占养殖场固定资产投入的15%左右。
2016-03-15,10、发生禽流感疫情时，加上养猪盈利部分，公司有亏损过吗？,答：2013年有过单季度亏损的情况。
2016-03-15,11、今后公司养鸡业的增长情况如何？,答：预计每年有10%左右的增长。
2016-03-15,12、现在公司能繁母猪存栏多少？,答：公司会根据上市肉猪计划配套公司能繁母猪数量。
2016-03-15, 13、公司养猪业扩张会遇到哪些问题？,答：土地和养殖类人才。当前面积较大、连片的设施农用地越来越难找。养猪人才的培养和招聘也比较难。
2016-03-15,14、现在很多养猪场往北方搬迁，是什么原因？,答：据了解，现在珠三角、长三江等发达地区划了许多禁养区，一些养殖场被迫关闭；北方部分地区有着很好的土地资源、地方政府也支持农业的发展，因此，部分企业会选择到北方地区去发展。
2016-03-15,16、公司员工年龄结构怎么样？,答：30岁左右的居多。
2016-03-15,9、这种系统性的“禽流感”的影响，有什么方法可以避免吗？,答：需提高公众对禽流感的认识。
2016-04-28,7、请问公司除了养鸡养猪的主业外，还有哪些业务？公司是否有其他业务可以平滑猪周期带来的业绩波动？,答：公司除了养鸡和养猪业以外，还有养鸭、乳业、机械设备、兽药、投资等业务，这些业务在主业的低潮期，都能发挥重要的作用，以平滑公司业绩波动。如投资业务，在2013年的时候就向集团贡献了3亿多的利润。
2016-04-28,9、公司的生产成本已经控制得很好，那未来还有下降的空间吗？,答：虽然饲料原料价格已下降幅度较大，但是进一步下降的难度较大，预计未来可以下降3%至5%左右。（全文完）
2016-04-28,8、请问黄羽鸡和白羽鸡有什么区别？,答：主要的区别在于外观、吃法、味道等方面。白羽鸡的饲料转换率高，料肉比等达到1.8:1，饲养天龄也只有45天。而黄羽鸡的饲养天龄长，有60天至230天的，分为快速、中速和慢速三个等级，料肉比在2.8:1左右。白羽鸡和黄羽鸡的消费群体也不一样。
2016-04-28,6、现在猪价那么高，公司有没有加快建设猪场？,答：公司一直都是按照内部制订的计划进行建设，不会因为猪价的高低而改变我们的建设进度。
2016-04-28,5、刚才公司提到的有700多个工地在施工，请问是不是公司自己的工地？,答：是的，都是公司及下属企业正在建设的工地。
2016-04-28,4、请分别介绍一下公司设备自动化和信息化方面的情况？,答：公司的配套业务中，有专门制造农牧设备的南牧公司，为公司的生产提供现代化的设备。公司近年来的自动化设备设施进一步提高，新建设的猪场都是按照高效化猪场的标准来建设，旧的猪场也在按照要求进一步改造。公司的总体优势，还体现在配套业务的完整性方面。我们几大配套体系包括了动保、设备、环保等，已经接近发达国家的水平。在信息化建设方面，公司的先董事长温北英先生从1992年开始就建立公司自己的计算机网络，在饲料配方、财务等管理方面得到了充分的应用。现在，我们公司的采购、生产、销售、财务等方面均实现了数据共享，虽然我们的分子公司越来越多，但是在计算机的辅助管理下，并没有增加过多的管理难度；我们对合作农户的管理，也实现了精细化，对合作农户的养殖现状、过去的养殖情况均有详细的记录。虽然公司下属的分子公司194家，但是我们每月的3日能完成合并报表工作，这就是信息化建设成果给我们带来的管理效率。
2016-04-28,3、现在公司一头母猪的投资大概是在怎样一个水平？,答：公司种猪场投资大约为1000元/头猪苗。
2016-04-28,2、公司对猪周期怎样看？,答：2011年的时候，猪价也是比较高，当时社会资本进入养猪业的比较多，但是今年就不是很多。根据国家有关部门的统计，我国的母猪存栏还是在较低的水平，而且已经持续几个月的时间，因此本次猪周期延续时间比以往会长。预计在今年的冬季开始，猪价会慢慢回落到正常的水平。
2016-04-28,1、请问公司中长期的目标中，在2019年或2020年，商品肉猪出栏量能达到多少？,答：公司每年的商品肉猪出栏量平均有15%至20%左右的增长，预计在2019年肉猪出栏量在2750万头左右。公司现在已经有700多个工地在开工建设，对公司未来的增长提供了很好的设施保障。
2016-05-09,    12.事业部调整，设战略投资部，与股东大会调整董事会投资权限有关吗？,    答：没有关系。公司设立战略投资部的目的在于发现发展新机遇，实施战略并购等业务，同时对企业内部战略实施进行分析，调研、提出建议等。  （全文完）
2016-05-09,   11.公司新开发的区有哪些省？,   答：广东地区是比较稳定的，东北、两湖、西南、云南、贵州地区还都在开发。
2016-05-09,   10.许多公司在学公司的模式，比如多给农户一些委托养殖费用。我们公司和他们的优势在哪？,   答：关键在于利益分配机制平衡、养殖水平、公司和农户长期以来的信任。公司采用紧密型“公司+农户（或家庭农场）”的温氏模式，公司和合作农户（或家庭农场）二者是非常紧密的、合作共赢的关系。公司经过30多年的发展，始终践行“精诚合作，齐创美满生活”的齐创共享的文化理念，得到了合作农户的认同和追随，是经过长期实践的检验，是很成熟的模式。
2016-05-09,   8.每年“一号土猪”赚的利润不会随猪周期波动频繁，价格很稳定，你们怎么看？,   答：各自的盈利模式不一样。   9.现在消费升级，公司做高端产品的战略吗？      答：消费升级对食品的要求更加安全，更加营养。我们做的黄鸡产品，就是满足消费者安全、营养、美味的升级需求。黄鸡产品当中也在细分出一部分高端产品，如公司的品牌鸡御品180。公司会开发高端鸡、高端猪产品去补充市场的份额，不过在市场上量还是较小的。现在公司的重点是肉猪规模的扩大，到一定规模以后，我们会深入挖掘市场潜力。
2016-05-09,   7.今年公司的利润我们根本不会担心。现在肉类消费升级了，近期市场上出现“一号土猪”的品牌，价格比较高，数量也在逐步增长，做出了品牌，还建立一些新的销售渠道，比如在天猫等网络上销售。如果有了好的模式，会不会成为下一个温氏？公司有没有品牌化路径的设计？,   答：我们一直注重公司形象建设，做公司大品牌。“温氏肉猪”就是受到市场欢迎的猪品牌，而且是个大品牌。公司定位于走大众消费路线，做大众食品。细分市场的肉猪品种我们也在做，但量不大。
2016-05-09,   5.公司在南方发展已经趋于稳定，在北移过程中，对于四川，安徽地区的进展情况怎样？是属于什么阶段呢？,   答：公司在90年代（1997）已经在华东、华中有养鸡业务布局，2005年起开发布局。华东、华中两区域建设和经营不存在问题，已经很成熟了。北移处于扩大规模阶段。东北地区和西北地区的建设模式，还处于摸索期。
2016-05-09,   4.去年玉米价格走低，对公司整体的养殖成本是不是降低了？,"   答：玉米价格降低了，原来是2400元/吨，现在1800元/吨左右,有200-300元/吨的降幅，饲料成本有一定的降幅。不过我们其他成本也有一定的增加，比如人力成本增加了，我们给农户的委托养殖费用提高了。新开的公司在前期建设阶段的投入，也增加了一定成本。但总体上，公司的成本同比有所下降。"
2016-05-09,   3.禽流感以后，国家要求肉鸡冰鲜卖，对公司有什么影响？,   答：有一定影响。公司现在也在考虑肉鸡生鲜屠宰，探索自己办厂屠宰或和屠宰厂合作等模式，探索肉鸡生鲜销售模式。我们会根据市场需求做一定调整。
2016-05-09,   1.公司现在四月份公布销售了138万头猪。后面增长的结构大概是怎样的？,   答：公司每个月的销量都会有一定增长。现在肉猪一个月销售140万头左右，公司的猪上市体重有所增加，去年上市体重一头猪220-225斤，现在平均一头猪230多斤，详细数据公告里有说明。   2.鸡行情怎么看？    答：今年以来白鸡上涨幅度较大，黄鸡价格平稳，黄鸡近几年（禽流感以后）行情都还不错。白鸡价格的上涨，对黄鸡价格有一定的支撑作用。
2016-05-09,   6.在扩大规模阶段，特别是进入新的一个地区，会不会和当地养殖形成竞争？,   答：整体来看，农业发展空间广阔，市场容量大。我们公司的综合水平还是比较高的，公司存在管理的优势。公司发展的新区域其养殖业一般是散户经营，他们投资成本相对低，但成本不好控制，可能会因为管理不佳而退出市场。我们公司管理完善，养殖行业的配套业务已形成系统优势，注重环保工作，可以提高当地农民的养殖水平，受到当地政府和人民的欢迎。
